ID;Название;Сечение
139619;Пластиковый контейнер DMC (AGF-1-15 mm), диаметр (1,8-2,5 mm) в упак.2500шт.;
139620;Пластиковый контейнер DMC (AGF-1-30 mm), диаметр (1,8-2,5 mm) в упак.500шт.;
139621;Пластиковый контейнер DMC (AGF-2-10 mm), диаметр (2-4,1 mm) в упак.4000шт.;
139622;Пластиковый контейнер DMC (AGF-2-15 mm), диаметр (2-4,1 mm) в упак.2500шт.;
139623;Пластиковый контейнер DMC (AGF-2-30 mm), диаметр (2-4,1 mm) в упак.500шт.;
139624;Пластиковый контейнер DMC (AGF-3-10 mm), диаметр (4-6,8 mm) в упак.3000шт.;
139625;Пластиковый контейнер DMC (AGF-3-15 mm), диаметр (4-6,8 mm) в упак.1500шт.;
139626;Пластиковый контейнер DMC (AGF-3-30 mm), диаметр (4-6,8 mm) в упак.300шт.;
139627;Пластиковый контейнер DMC (AGF-4-10 mm), диаметр (6-9,5 mm) в упак.750шт.;
139628;Пластиковый контейнер DMC (AGF-4-15 mm), диаметр (6-9,5 mm) в упак.500шт.;
139629;Пластиковый контейнер DMC (AGF-4-30 mm), диаметр (6-9,5 mm) в упак.300шт.;
139630;Пластиковый контейнер DMC (AGF-5-10 mm), диаметр (9,6-13,5 mm) в упак.300шт.;
139631;Пластиковый контейнер DMC (AGF-5-15 mm), диаметр (9,6-13,5 mm) в упак.400шт.;
139632;Пластиковый контейнер DMC (AGF-5-30 mm), диаметр (9,6-13,5 mm) в упак.200шт.;
139633;Пластиковый контейнер DMC (AGF-6-15 mm), диаметр (13,6-21,5 mm) в упак.150шт.;
139634;Пластиковый контейнер DMC (AGF-6-30 mm), диаметр (13,6-21,5 mm) в упак.50шт.;
139635;Бетонный колодец;
139636;Соединитель;
139637;Шпилька резьбовая 16mm*1m;
139638;Чугунная труба 200 mm*6m;
139639;Болт медный M10 X 35mm;
139640;Гайка латунная M10;
139641;Шайба латунная M10;
139642;Шайба гроверная бронзовая M10;
139643;Коксовая мелочь (в упаковке 35 Kg);
139644;Шина медная 50х5х350мм;
139645;Нержавеющий стальной болт M10 X 35mm;
139646;Нержавеющая стальная гайка M10;
139647;Нержавеющая стальная плоская шайба M10;
139648;Нержавеющая стальная гроверная шайба M10;
139649;Соединитель для кабеля 70 кв.мм. в 25кв.мм.;
